title,year,name,type,character,n
Jumalan myrsky,1940,Kosti Aaltonen,actor,Jussi Metelinen,13.0
Niskavuoren naiset,1938,Kosti Aaltonen,actor,Pehtoori (Manager of an estate),15.0
Rosvo Roope,1949,Kosti Aaltonen,actor,Driver,23.0
"Soita minulle, Helena!",1948,Kosti Aaltonen,actor,Oskari,7.0
Suurin voitto,1944,Kosti Aaltonen,actor,Lumberjack,
Tuhottu nuoruus,1947,Kosti Aaltonen,actor,Kivinen,20.0
Tuomari Martta,1943,Kosti Aaltonen,actor,Juror,
Varaventtiili,1942,Kosti Aaltonen,actor,Per?l?,19.0
Esa ja Vesa - auringonlaskun ratsastajat,1994,Remu Aaltonen,actor,HD-Dealer,12.0
Ganes,2007,Remu Aaltonen,actor,Himself,
Rokkidiggari,1981,Remu Aaltonen,actor,Himself,
Tango Kabaree,2001,Remu Aaltonen,actor,Costume designer,3.0
Hei kliffaa hei!,1985,Risto Aaltonen,actor,Taksikuski,9.0
Hurmaava joukkoitsemurha,2000,Risto Aaltonen,actor,Sakari Urpela,
Johtaja Uuno Turhapuro - pisnismies,1998,Risto Aaltonen,actor,Ven?l?inen roisto #2,20.0
Jousiampuja,1982,Risto Aaltonen,actor,Poliisi,32.0
Kadunlakaisijat,1991,Risto Aaltonen,actor,Manageri,32.0
Keisarikunta,2004,Risto Aaltonen,actor,Bering,19.0
Leikkikalugangsteri,1969,Risto Aaltonen,actor,Gangsteri Nitti,4.0
Lupaus,2005,Risto Aaltonen,actor,Kirkkoherra Tuusulassa,29.0
Pilvilinna,1970,Risto Aaltonen,actor,Liikemies autossa,
Rikos ja rangaistus,1983,Risto Aaltonen,actor,Painter,11.0
Rock'n Roll Never Dies,2006,Risto Aaltonen,actor,Ammattikoulun opettaja,32.0
Tupla-Uuno,1988,Risto Aaltonen,actor,Sexstr?m,10.0
Uuno Turhapuro muuttaa maalle,1986,Risto Aaltonen,actor,Psykiatri,16.0
Uuno Turhapuron veli,1994,Risto Aaltonen,actor,Tarmon anopin yhti?n johtokunnan j?sen,20.0
Vaarallista vapautta,1962,Risto Aaltonen,actor,Saarinen,9.0
Matti,2006,Teemu Aaltonen,actor,Bouncer,92.0
Arvottomat,1982,Veikko Aaltonen,actor,Juippi,10.0
Talvisota,1989,Veikko Aaltonen,actor,Soldier of the 5th Company,59.0
Aktivistit,1939,Yrj? Aaltonen,actor,J?ger,
Miriam,1957,Yrj? Aaltonen,actor,Boy,
Nether World,1997,Stacy Aam,actor,Target #1,
Cannibals and Carpet Fitters,2017,Jon Vangdal Aamaas,actor,Cannibal Villager,21.0
Eye on Juliet,2017,Mohamed Ben Aamara,actor,Village policeman #1,620.0
The Unleashed,2011,Ryan Aamcharran,actor,Highroller Ghost,
I Am Cursed,2014,Hayat Aamer,actor,Mr. Gupta,
Baron 3D,2016,Mohamed Aamer,actor,Adam,
Bloodshed and Emeralds,1999,Aaron Aames,actor,Cardinal Feelito,
A Sweet and Vicious Beauty,2012,Eero Aames,actor,Anson,11.0
Zombthology,2008,Eero Aames,actor,"Ryan (segment ""A Slight Case of Zombism"")",
Dickie Roberts: Former Child Star,2003,Willie Aames,actor,Willie Aames,64.0
Goma-2,1984,Willie Aames,actor,Tony,4.0
Inferno in diretta,1985,Willie Aames,actor,Tommy Allo,3.0
Paradise,1982,Willie Aames,actor,David,1.0
Scavenger Hunt,1979,Willie Aames,actor,Kenny Stevens,12.0
Zapped!,1982,Willie Aames,actor,Peyton Nichols,2.0
PK,2014,Aamir (III),actor,Hindu Hater,
Zinda Bhaag,2013,Sadiq Aamir,actor,Policeman 1,
Kristine Valdresdatter,1930,Kristian Aamodt,actor,"Anton M?ller, lensmann",15.0
Insomnia,1997,Thor Michael Aamodt,actor,Tom Engen,6.0
Olsenbanden jr. Mestertyvens skatt,2010,Thor Michael Aamodt,actor,Syvertsen,18.0
Olsenbanden jr. og det sorte gullet,2009,Thor Michael Aamodt,actor,Syvertsen,17.0
Snekker Andersen og Julenissen,2016,Thor Michael Aamodt,actor,Bestefar Andersen,
Svein og Rotta og UFO-mysteriet,2007,Thor Michael Aamodt,actor,UFO Man,
Trigger,2006,Thor Michael Aamodt,actor,Mr. Hiort,6.0
Venner for livet,2005,Thor Michael Aamodt,actor,Fotballtrener,16.0
Mengaloth,2005,Tommy Aamodt,actor,Gisler Kain,
Jerome's Razor,2002,Doug Aamoth,actor,Denny,
Peter,2000,Doug Aamoth,actor,Mike,
Goodbye Morocco,2012,Sa?d Aamoum,actor,Le co-?quipier du commissaire,12.0
Honeyz,2007,Michael Aamschot,actor,Trigion Security #3,20.0
ODC [Ordinary Decent Criminal],2010,John Aamundson,actor,Salvatore Mercado,
Lahore,2010,Aanaahad,actor,Veerender Singh,3.0
Baby,2015,Karan Aanand,actor,Jamal,
Calendar Girls,2015,Karan Aanand,actor,Palash Bose,
Gunday,2014,Karan Aanand,actor,Dutta,
Kick,2014,Karan Aanand,actor,Anil Sharma,
The ABCs of Death,2012,Torgny Gerhard Aanderaa,actor,"Sir Winston Churchill (segment ""H is for Hydro-Electric Diffusion"")",42.0
#Roxy,2017,Chris Aanderson,actor,Roxy's Dad,
It's Not My Fault and I Don't Care Anyway,2015,Chris Aanderson,actor,Average Theatre Guy,23.0
Alvin Purple,1973,Peter Aanensen,actor,Ed Cameron,13.0
Bad Eggs,2003,Peter Aanensen,actor,Arthur Ferris,49.0
Cactus,1986,Peter Aanensen,actor,George,7.0
Crackerjack,2002,Peter Aanensen,actor,Edgar,11.0
Duet for Four,1982,Peter Aanensen,actor,Senior Physician,
Dusty,1983,Peter Aanensen,actor,Mr. Brownless,11.0
Eliza Fraser,1976,Peter Aanensen,actor,Restauranteur,31.0
Evil Angels,1988,Peter Aanensen,actor,Sims,34.0
Road to Nhill,1997,Peter Aanensen,actor,Mac,16.0
Shame,1988,Peter Aanensen,actor,Sgt. Wal Cuddy,5.0
The Craic,1999,Peter Aanensen,actor,Policeman,24.0
You Can't See 'round Corners,1969,Peter Aanensen,actor,Sergeant Quinn,12.0
Vor tids helte,1918,Adolf Aanesen,actor,Bygdas lensmann,10.0
Yohan - Barnevandrer,2010,Gunnar Adolf Aanesland,actor,Potetselger,
Hawaiian Punch,2013,Mikael Aanestad,actor,Mikael,
Hawaiian Punch,2013,Tor Kristian Aanestad,actor,Tor,
Brothers,2015,Hemant Aangrish,actor,Gama,
Maharaja,2005,Aanjanappa,actor,Circle Inspector,15.0
De Boskampi's,2015,Anouar Aanquich,actor,Vriend Toni 1 (additional cast New York Scene),64.0
Makdach Lagin,2014,Kadam Aapa,actor,Sarpanch,
Pikku Pietarin piha,1961,Aapeli,actor,God,
Psalm 13,2005,Franklin Aapkes,actor,Mon Capitaine,
Being There,1979,Jim Aar,actor,Presidential Aide,30.0
Erased,2012,Warl Aarab,actor,Mourad's Son 2,41.0
Patton,1970,Abraxas Aaran,actor,Willy,30.0
Old Enough,1984,Steve Aaran,actor,Street kid,27.0
Slapstick (Of Another Kind),1982,Steve Aaran,actor,Cadet #1,17.0
Devadasu,1953,Satyanarayana Aarani,actor,Dharmanna,7.0
Ramadasu,1933,Satyanarayana Aarani,actor,Thanisha,2.0
Gatwick Gangsters,2016,Abdelaaziz Aarar,actor,HRH Prince Khalid Abdullah El Sahara,
Haie an Bord,1971,Efisio Aarbus,actor,Bruno,8.0
Tiger (II),2016,Frank Aard,actor,Sal,
Field of Lost Shoes,2014,Frank J. Aard,actor,Old Spex,
Honeyspider,2014,Frank J. Aard,actor,Professor Lynch,
Horror Story,1997,Frank J. Aard,actor,Clyde,5.0
Immortal,1995,Frank J. Aard,actor,Wiley,
Radioland Murders,1994,Frank J. Aard,actor,Rollerskating Penguin,34.0
Tiger (II),2016,Frank J. Aard,actor,Sal,
Hage Wars,1998,Brynjar F. Aardal,actor,Svein Harry Berge,
Nimed marmortahvlil,2002,Ott Aardam,actor,Kohlapuu,5.0
Supilinna Salaselts,2015,Ott Aardam,actor,Hannes Haljandi,7.0
Flodder,1986,Raymond Aarden,actor,Vriend van Johnnie,70.0
Hartenstraat,2014,Tomas Aarden,actor,Hipster,
Woezel & Pip Op zoek naar de Sloddervos!,2016,Rijk Aardse,actor,Woezel,
Amnesia (II),2012,James Aardvarck,actor,Robert Reaper,
Learning Hebrew (A Gothsploitation Movie),2013,Fritz Aardvark Bragpuss,actor,Phil the Philosopher,
The Borrowers,1997,Fritz Aardvark Bragpuss,actor,Borrower,
The Vampires of Bloody Island,2009,Fritz Aardvark Bragpuss,actor,Wolfgang Werewolf,
The Case of Fortune,2012,Janne Aare,actor,Stoneface - Howling Owl,
Chasing Indigo,2000,Bruce Aarestad,actor,Father,
Grev Axel,2001,Lasse Aarestrup,actor,Bondedreng,27.0
Malevolence,1999,Mick Aarestrupp,actor,Slim,43.0
Maya (V),2015,Aari,actor,Vasanth,2.0
Mazhai pozhuthin mayakathile,2012,Aari,actor,Ajay,
Nedunchalai,2014,Aari,actor,Murugan,1.0
Rettaisuzhi,2010,Aari,actor,Murthy,
Six-Pack,2000,Jeffrey Aarles,actor,Flic USA 1,24.0
Terminal Justice,1996,Jeffrey Aarles,actor,Biotechie,31.0
Georg,2007,J?ri Aarma,actor,Pianist klubis,54.0
Tappev Tartu,1998,Kiur Aarma,actor,Ilmar Raag,11.0
Deemonid,2012,Aron Morten Aarna,actor,"Joko's daughter, newborn",46.0
Juokse kuin varas,1964,Annu Aarnela,actor,Young girl,21.0
Toisenlainen,2016,Petri (II) Aarnio,actor,Leo,
Toisenlainen,2016,Petri (II) Aarnio,actor,Palkkatappaja,
Austin Powers: International Man of Mystery,1997,Douglas Aarniokoski,actor,Voice on Dr. Evil's Telephone,
Highlander: Endgame,2000,Douglas Aarniokoski,actor,Kirk,21.0
The Faculty,1998,Douglas Aarniokoski,actor,Brun Coach,33.0
Zoom,2006,Hunter Aarniokoski,actor,Prince,12.0
Cannibal Fog,2014,Janne Aarnseth,actor,Victim Herrej?vlar,26.0
Maskeblomstfamilien,2010,Marcus Mathias Aarnseth,actor,Adrian Wang,
Surrender,2003,Aaron (XV),actor,Submissive,19.0
Two Coyotes,2001,Aaron (XVIII),actor,Lorenzo,8.0
Rose of Santa Rosa,1947,Aaron Gonzales' Orchestra,actor,Orchestra,11.0
Answers to Nothing,2011,Tony Aaron II,actor,Supportive Marathon Runner,
Daddy's Little Girls,2007,Tony Aaron II,actor,Neighborhood Thug,
Stomp the Yard,2007,Tony Aaron II,actor,College Student,
The Nice Guy,2013,Tony Aaron II,actor,Boyfriend,1.0
Three Can Play That Game,2007,Tony Aaron II,actor,Wedding Party Guest,
Agent Provocateur,2012,Aash Aaron,actor,Martin Dent,23.0
Flynn,1993,Aash Aaron,actor,Auditioning Actor,
Frenzy,2015,Aash Aaron,actor,Gator,3.0
I.C.U.,2009,Aash Aaron,actor,Detective Al Stewart,5.0
Loyalty,2011,Aash Aaron,actor,Kersey,19.0
Mr. Reliable,1996,Aash Aaron,actor,Police Marksman 2,
StalkHer,2015,Aash Aaron,actor,Man #2,7.0
Swimming Upstream,2003,Aash Aaron,actor,Striker,51.0
The Dark Lurking,2009,Aash Aaron,actor,Communications commander,9.0
Vigilante (II),2008,Aash Aaron,actor,Detective Wright,10.0
All Out Dysfunktion!,2016,Antonio Aaron,actor,Break beat,
Moonwalker,1988,Ben Aaron,actor,Maestro,6.0
Bartypes: A Stereotypical Comedy,2002,Benny Aaron,actor,Pot Head,
My Brother's Shoes,2015,Blake Aaron,actor,Jackie,3.0
Big Deal,1985,Bob Aaron,actor,Cabbie,20.0
Raging Bull,1980,Bob Aaron,actor,Prison Guard #1,86.0
Stanley & Iris,1990,Bob Aaron,actor,Bakery Foreman,21.0
The Pink Chiquitas,1987,Bob Aaron,actor,Tourist Dad,20.0
Phantom Soldiers,1989,Bob (V) Aaron,actor,Pilot,
Trigon Fire,1989,Bob (V) Aaron,actor,McCoy's Bodyguard,
The Last Winter,1984,Brian Aaron,actor,Michael,7.0
The Boys of Sunset Ridge,2001,Chad Aaron,actor,Hank Bartlowski at 13,9.0
The Yards,2000,Chad Aaron,actor,Bernard Soltz,14.0
Do You Love Me,1946,Charles Aaron,actor,Dancer,
Do You Love Me,1946,Charles Aaron,actor,Sailor,
The Third Society,2002,Chuck Aaron,actor,Helicopter Pilot,
The Book,2009,Cody Aaron,actor,Constable 2221,25.0
The Wait for Midnight Thirteen,2016,Conan Aaron,actor,Riley FitzGibbon,
Gingerdead Man 3: Saturday Night Cleaver,2011,Damon Aaron,actor,Skater,
Love Me Deadly,1973,David (IV) Aaron,actor,Party Guest,
"Chloe, A to Z",2010,David (IX) Aaron,actor,Glassez,11.0
Dark Places,2015,Duke Aaron,actor,Homeless Man,
The Tale,2017,Duke Aaron,actor,Waiter,
George qui?,1973,Edmond Aaron,actor,Le p?re du metteur en sc?ne,56.0
A Chorus Line,1985,Eric Aaron,actor,Dancer,
The Shiftling,2008,Frank Aaron,actor,Bumbling Henchman,5.0
Red Ninja the Sister Hood,2016,Fulton Aaron,actor,Customer,
Red Ninja the Sister Hood,2016,Fulton Aaron,actor,Extra,
Summer Catch,2001,Hank Aaron,actor,Himself,24.0
An American Affair,2008,J.P. Aaron,actor,White House Sentry,19.0
C.O.D.,1981,Jack Aaron,actor,Don,31.0
Fat Angels,1981,Jack Aaron,actor,Frank,
La mortadella,1971,Jack Aaron,actor,Steward,
The Spook Who Sat by the Door,1973,Jack Aaron,actor,Carstairs,9.0
Winter Retreat,2016,Jack (II) Aaron,actor,Leonard Gayewurld,
Tender Mercies,1983,James Aaron,actor,Henry - Slater Mill Boys Member,15.0
Attack of the Killer Shrews!,2016,Jb Aaron,actor,Sgt. Stonewall,
Two Weeks Notice,2002,Jeff Aaron,actor,Best Man,
August (III),2011,Joe Aaron,actor,Attorney,20.0
Crazy Jones,2000,Joe Aaron,actor,Finnegan Jones,1.0
See Pap Love,2016,Joe Aaron,actor,Doctor,4.0
Of Saints and Outlaws,2014,Joshua (II) Aaron,actor,Child Flowers,
New Intentions,2016,Kasingye Aaron,actor,Lenon,
Da' Wild Boyz of Kilco,2015,Lance Aaron,actor,Chad,
Friday Night Lights,2004,Lance Aaron,actor,Backup Quaterback #11,
The Blue Tooth Virgin,2008,Lance Aaron,actor,Coffee Shop Patron,
"The Darkness, Rage and the Fury",2014,Lance Aaron,actor,Greg,4.0
Guide,1965,Levy Aaron,actor,Dilip,16.0
Expressway to Your Skull,2014,Mark (II) Aaron,actor,Charlie,3.0
Holt Kills Randy,2014,Mark (II) Aaron,actor,Uncle Ron,
L.A. Ricochet,2009,Mark (II) Aaron,actor,Max Lennart,
Redland,2009,Mark (II) Aaron,actor,Father,1.0
Bromance,2015,Matthew (III) Aaron,actor,David,1.0
The Way We Talk (II),2015,Matthew (III) Aaron,actor,Marty,
The Fast Life,2003,Matthew (V) Aaron,actor,Basketball kId #4,
Internecionem,2016,Matthew (VI) Aaron,actor,Hammond Militia 5,21.0
Highland Park,2013,Michael (IV) Aaron,actor,Kurt,18.0
Bikini Girls on Ice,2009,Michael (V) Aaron,actor,JD,11.0
After...,2006,Nicholas Aaron,actor,Jay,3.0
Bitter Harvest,2016,Nicholas Aaron,actor,Walter Duranty,
Black Butterfly,2016,Nicholas Aaron,actor,Delivery man,
Death Race 4,2017,Nicholas Aaron,actor,Johnny Law,
Don't Look Back!,2003,Nicholas Aaron,actor,Deputy Jebb McQuarrie,17.0
Fast Track: No Limits,2008,Nicholas Aaron,actor,Wolf,10.0
Genesis,2016,Nicholas Aaron,actor,Gadd,
Rottweiler,2004,Nicholas Aaron,actor,Sugarman,8.0
Unstoppable,2004,Nicholas Aaron,actor,McNab,9.0
Alarmed,2014,Olivia (II) Aaron,actor,Youngest Sister,
1982,2013,Quinton Aaron,actor,Turtle,
4th of July Family Reunion,2016,Quinton Aaron,actor,Hopper,
An American in Texas,2016,Quinton Aaron,actor,Quain,
Be Kind Rewind,2008,Quinton Aaron,actor,Q,9.0
Benefit of Time,2016,Quinton Aaron,actor,Juke,
Dancer and the Dame,2015,Quinton Aaron,actor,Louis,4.0
Extraction: Genesis,2016,Quinton Aaron,actor,Blade,2.0
Feliz Navidad,2006,Quinton Aaron,actor,Vocalist,
Greater,2016,Quinton Aaron,actor,Coach Aaron,
Halfway,2016,Quinton Aaron,actor,Byron,
Hate Is a Strong Word,2017,Quinton Aaron,actor,Fin,
"Heart, Baby",2017,Quinton Aaron,actor,K-Rod,8.0
Hero of the Underworld,2015,Quinton Aaron,actor,Tino,4.0
Hybristophilia,2017,Quinton Aaron,actor,Tommy,
It's Not My Fault and I Don't Care Anyway,2015,Quinton Aaron,actor,Brian Calhoun,2.0
Justice,2016,Quinton Aaron,actor,Benjamin,
Lap Dance,2014,Quinton Aaron,actor,Himself,
Left Behind,2014,Quinton Aaron,actor,Simon,
Lowlifes,2017,Quinton Aaron,actor,Damen,4.0
Mothers and Daughters,2016,Quinton Aaron,actor,Dr. Hamilton,
My Favorite Five,2015,Quinton Aaron,actor,T.I.,9.0
My First Miracle,2016,Quinton Aaron,actor,Brandon,
Paranormal Movie,2013,Quinton Aaron,actor,Quinton,
Rock Paper Dead,2017,Quinton Aaron,actor,Joe,
The Appearing,2014,Quinton Aaron,actor,Kenneth,4.0
The Blind Side,2009,Quinton Aaron,actor,Michael Oher,3.0
The Ministers,2009,Quinton Aaron,actor,Perp,
The Second Coming of Christ,2016,Quinton Aaron,actor,Michael,3.0
Traded,2016,Quinton Aaron,actor,Silas,8.0
Worthless,2016,Quinton Aaron,actor,Principal,
Simon Birch,1998,Sam Aaron,actor,Old Man #1,36.0
The Assistant,1997,Sam Aaron,actor,Customer Max,7.0
The Cutting Edge,1992,Sam Aaron,actor,Man in Bar,29.0
Checking Out,2005,Sam (II) Aaron,actor,Young Morris Applebaum,
Jerry Powell & the Delusions of Grandeur,2011,Sam (II) Aaron,actor,Rudy,
"Something, Anything",2014,Samuel Aaron,actor,Prom Teenager #1,
Dreammaker,2005,Shane Aaron,actor,Julian,
Distant Shadow,2000,Terry Aaron,actor,David Silwell,25.0
Fireback,1983,Tony Aaron,actor,Ninja,16.0
Bulletproof,1996,Victor Aaron,actor,Hispanic Man,28.0
Geronimo: An American Legend,1993,Victor Aaron,actor,Ulzana,10.0
The Sunchaser,1996,Victor Aaron,actor,Webster Skyhorse,8.0
Flora,2016,William Aaron,actor,Charles Horne,
Crying Wolf,2015,Steve Aaron-Sipple,actor,Werewolves,49.0
Cute Little Buggers,2017,Steve Aaron-Sipple,actor,Brian,
Mediate This,2016,Gary Aaronavitch,actor,Police Officer,
Brothers of War,2015,Owen Aaronovitch,actor,Stephen Thornton,
Detention,2011,Adam Aarons,actor,Student,
Dirty People,2012,Adam Aarons,actor,Jam,14.0
Adventures in Babysitting,1987,Allan Aarons,actor,Janitor #1,14.0
"Burning, Burning",2015,Allan Aarons,actor,The Older Man,7.0
Physical Evidence,1989,Allan Aarons,actor,Bastianelli,45.0
Ruby Skye P.I.: The Maltese Puppy,2014,Allan Aarons,actor,Mr. Pendergas,10.0
Seeds of Doubt,1998,Allan Aarons,actor,Vagrant,
Shoot,1976,Allan Aarons,actor,Stanley,20.0
The Cross Road,2008,Allan Aarons,actor,Costa,
Utilities,1983,Allan Aarons,actor,Man on Street #1,49.0
Dates Like This,2012,Colin (III) Aarons,actor,Owen,
Stuck on You!,1982,David Aarons,actor,Attila's Father,85.0
Pure S,1975,Gerald Aarons,actor,Patient,52.0
The Knockoffs,2017,Kaine Aarons,actor,Board Member,
All the President's Men,1976,Leroy Aarons,actor,Financial Editor,46.0
Masters,2013,Marlon Aarons,actor,Crowd Member,
Never Back Down,2008,Shawn Aarons,actor,Wide Receiver,
The Party Crashers,1958,Alan Aaronson,actor,Ted Nickerson,
Underworld U.S.A.,1961,Alan Aaronson,actor,Boy,
Metamorphosis: The Alien Factor,1990,Bob (II) Aaronson,actor,Additional voices,13.0
Unstoppable Love,2014,Brandon Aaronson,actor,Band,6.0
The Big Gay Musical,2009,Jack Aaronson,actor,Himself,
Cold in July,2014,Norman Aaronson,actor,Old Man with Cane,
Good Ol' Boy,2015,Norman Aaronson,actor,KFC Patron,
Hits,2014,Norman Aaronson,actor,Diner Patron,
Late Phases,2014,Norman Aaronson,actor,Church Attendee,
Mi America,2015,Norman Aaronson,actor,Diner Patron,
We Are What We Are,2013,Norman Aaronson,actor,Townsperson,
Duffy of San Quentin,1954,Sandy Aaronson,actor,Guard,15.0
Candy Stripers,2006,Scott Aaronson,actor,Coach,1.0
Chasing 3000,2010,Scott Aaronson,actor,Baseball Coach,
Songs Like Rain,2006,Scott Aaronson,actor,Mr. Barber,
Teddy Bears' Picnic,2002,Scott Aaronson,actor,Waiter,
The Girl King,2015,Raimo Aarras,actor,Court Painter,27.0
Ajomies,2013,Tapio Aarre-Ahtio,actor,Luukkonen,5.0
Mommilan veriteot 1917,1973,Tapio Aarre-Ahtio,actor,Ismailoff,5.0
Suomen Marsalkka,2012,Miska Aarrej?rvi,actor,Soldier,51.0
Nightbumpers,2012,Kurt Aarrestad,actor,Benny,8.0
Martin's Day,1985,Bob Aarrons,actor,Malvern Cop,17.0
Den moderne Messalina,1914,Poul Aars,actor,Jean,
For dagene er onde,1991,Reidar Aarsand,actor,Trekkspiller,18.0
Hellboy,2004,Daniel Aarsman,actor,Kid,20.0
Who Dares Wins: The Ghettoblaster Part IV - Kalkonfesten,1990,Aarsrud,actor,Huj soldier and Jason,
Blind Eye (II),2007,Josh Aarssen,actor,River Way Extra,
Shetlandsgjengen,1954,Karl Johan Aars?ther,actor,Himself,10.0
Koskenlaskijan morsian,1923,Uuno Aarto,actor,Tukkilainen,12.0
Schaduwspel,2014,Jasper Aarts,actor,Hans Gerritsen,3.0
Volle maan,2002,Sjors Aarts,actor,Voorbijganger,
Fataal,2016,Tom Aarts,actor,Beveiliger,27.0
Familien Jul,2014,Adrian Annava Aarup,actor,Nisseb?rn,27.0
"Hjelp, vi er russ",2011,Tobias Aarvik,actor,Markus Ung,47.0
En sjel for mye,2014,Rino Aarvold,actor,Bj?rn Olav,3.0
Chamku,2008,Pranab Aarya,actor,Assassin,67.0
Pyaar Ka Punchnama,2011,Kartik Aaryan,actor,Rajat,
Pyaar Ka Punchnama,2011,Kartik Aaryan,actor,Rajjo,
Pyaar Ka Punchnama 2,2015,Kartik Aaryan,actor,Anshul,
Swargathekkal Sundaram,2015,Master Aaryan,actor,Aadithyan,
3,1971,Arne Aas,actor,Sjefen,6.0
Alle tiders kupp,1964,Arne Aas,actor,"Thorsen, Mettes venn",13.0
Bare et liv - historien om Fridtjof Nansen,1968,Arne Aas,actor,Philip Noel-Baker,8.0
Bobbys krig,1974,Arne Aas,actor,Direkt?ren,
Himmel og helvete,1969,Arne Aas,actor,"Orheim, psykolog",9.0
Kanarifuglen,1973,Arne Aas,actor,"Arne, arbeidskam.",5.0
Kronprinsen,1979,Arne Aas,actor,Redakt?r,
Min Marion,1975,Arne Aas,actor,Leonid,
Musikanter,1967,Arne Aas,actor,"Ludvig, dikter",5.0
Olsenbanden og Data-Harry sprenger verdensbanken,1978,Arne Aas,actor,"Larsen, sj?f?rl?rer",10.0
Oss,1976,Arne Aas,actor,Finansminister,
Pappa tar gull,1964,Arne Aas,actor,"Wollert, profeten",12.0
Rallarblod,1979,Arne Aas,actor,Ingeni?ren,
Smuglere,1968,Arne Aas,actor,Hugo,3.0
Under en steinhimmel,1974,Arne Aas,actor,Legen,
Vaktpostene,1965,Arne Aas,actor,"Arild, soldat",2.0
Tommys Inferno,2005,Daneil Steven Aas,actor,Ahmeds gruppe 2,36.0
"Bon Cop, Bad Cop",2006,Tim Aas,actor,Security Guard,
Irish Eyes,2004,Tim Aas,actor,Teen Thomas,19.0
Percy Jackson & the Olympians: The Lightning Thief,2010,Tim Aas,actor,Parthenon Janitor,63.0
Svik,2009,Yngvar Aas,actor,Norwegian industrialist,44.0
Halvveis til Haugesund,1997,Geir Aase,actor,Cowboy Son,11.0
Skumringslandet,2014,Lars Mogens Aase,actor,Chef,
Mannen som elsket Yngve,2008,Stian Aase,actor,Liten gutt p? Storhaug,15.0
Mango - Lifes coincidences,2017,Synne Odland Aase,actor,Class Mate,
Sankt Hans fest,1947,Henrik Aasekj?r,actor,Brennevinshandleren,31.0
Hepta: The Last Lecture,2016,Kamal Aasem,actor,Ahmed's Friend #4,29.0
Street Gun,1996,Craig Aasen,actor,Hitman #1,67.0
Kon-Tiki,2012,Halvor Aasen,actor,Child,35.0
Yohan - Barnevandrer,2010,Halvor Aasen,actor,Sverre,
Bengal Tiger,1936,John Aasen,actor,Giant,
Carnival,1935,John Aasen,actor,Circus Giant,
Charlie Chan at the Circus,1936,John Aasen,actor,Giant Man,
Freaks,1932,John Aasen,actor,Giant,
Legionnaires in Paris,1927,John Aasen,actor,Shorty,5.0
The Show of Shows,1929,John Aasen,actor,Junior,
Two Flaming Youths,1927,John Aasen,actor,The Giant,
Why Worry?,1923,John Aasen,actor,Colosso,3.0
The Sasquatch Hunters,1997,Larry Aasen,actor,MiCI 1,17.0
Birkebeinerne,2016,Michael (II) Aasen,actor,Birkebeiner #9,
Halvveis til Haugesund,1997,Ole J. Aasen,actor,Am-car Club,15.0
Cabin Fever,2002,Jay Aaseng,actor,Sir Chug-a-Lot,42.0
The Big Sleaze,2010,Jay Aaseng,actor,Mike,22.0
Krypskyttere,1982,Ivar Aaserud,actor,Photographer,
Flaugstad,2017,Andreas Aasheim,actor,Magne,
Bachelor Party,2009,Aashiq,actor,Pimp,
Building Butterflies,2015,Jabbar Aashir-Saabir,actor,Jon Jon Wilkes,
Sajan,1969,C.S. Aasie,actor,Sub. Inspector,19.0
Kenner,1968,G.S. Aasie,actor,Shoe Merchant,15.0
Baabarr,2009,Aasim,actor,Jhandu,33.0
Rangdari,2012,Manjul Aasim,actor,Brij Singh,3.0
Frequency,2000,Derek Aasland,actor,Stoned Man #1,35.0
Kids in the Hall: Brain Candy,1996,Derek Aasland,actor,The Zendic Kid,
Resident Evil: Apocalypse,2004,Derek Aasland,actor,Featured Graveyard Undead #1,40.0
Resident Evil: Apocalypse,2004,Derek Aasland,actor,Featured 'Surplus' Undead #3,40.0
The Skulls,2000,Derek Aasland,actor,Sullivan,13.0
Urban Legends: Final Cut,2000,Derek Aasland,actor,P.A. Kevin,12.0
WWW: What a Wonderful World,2006,Samir Aasli,actor,Policier du Twin center,
Essential Killing,2010,Christian Aaslie,actor,Extra,52.0
Miss Lovely,2012,Aasokaa,actor,Duggal Film Crew,17.0
Reprise,2006,Jan-Egil Aasterud,actor,Andre medvirkende,84.0
Bande,1986,T?nu Aav,actor,Prosecutor Farr,7.0
Hysteria,1993,T?nu Aav,actor,Sergei,
